2022-07-28 09:00:48.602015 ; Session        ; Debug       ; Session log loaded as 'C:\Engineering\Projecten\LedsGo\versie5Knop\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\SessionLogs\editor 2022-07-28 09-00-46.txt'. [14.8 ms]
2022-07-28 09:00:48.646779 ; Session        ; Debug       ; Running '"C:\Engineering\Projecten\LedsGo\versie5Knop\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\editor.exe" ' in 'C:\Engineering\Projecten\LedsGo\versie5Knop\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug'.
2022-07-28 09:00:49.084525 ; Session        ; Debug       ; Microsoft Windows 10.0.19044 X64
2022-07-28 09:00:49.084525 ; Session        ; Debug       ; .NET Framework 4.8.4515.0
2022-07-28 09:00:49.138382 ; Session        ; Debug       ; OpenTAP Engine 9.17.4+ea67c63a X64
2022-07-28 09:00:49.217267 ; AssemblyFinder ; Debug       ; Found 38/93 assembly files. [92.2 ms]
2022-07-28 09:00:49.679627 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Engineering\Projecten\LedsGo\versie5Knop\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2022-07-28 09:00:49.778758 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Engineering\Projecten\LedsGo\versie5Knop\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2022-07-28 09:00:50.084857 ; Searcher       ; Debug       ; Ordered 34 assemblies according to references. [855 ms]
2022-07-28 09:00:50.408994 ; PluginManager  ; Debug       ; Found 18 plugin assemblies containing 267 plugin types. [1.18 s]
2022-07-28 09:00:50.410001 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.dll
2022-07-28 09:00:50.410001 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Package.dll
2022-07-28 09:00:50.410001 ; PluginManager  ; Debug       ; Found version 1.1.1.0          of Keysight.OpenTap.Licensing.dll
2022-07-28 09:00:50.410001 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Plugins.BasicSteps.dll
2022-07-28 09:00:50.410001 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Keysight.OpenTap.Wpf.dll
2022-07-28 09:00:50.410001 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of PackageManager.exe
2022-07-28 09:00:50.410001 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Editor.exe
2022-07-28 09:00:50.410001 ; PluginManager  ; Debug       ; Found version 0.1.0-Development of OpenTap.Plugins.LedsGo.dll
2022-07-28 09:00:50.410001 ; PluginManager  ; Debug       ; Found version 9.11.0+98498e58  of Csv.dll
2022-07-28 09:00:50.410001 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of ResultsViewer.exe
2022-07-28 09:00:50.410001 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of RunExplorer.exe
2022-07-28 09:00:50.410001 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Keysight.OpenTap.CommunityEditionPopup.exe
2022-07-28 09:00:50.410001 ; PluginManager  ; Debug       ; Found version 1.0.0            of OpenTap.OSIntegration.Windows.dll
2022-07-28 09:00:50.410001 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Sdk.New.dll
2022-07-28 09:00:50.410001 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.SqlDatabase.dll
2022-07-28 09:00:50.410001 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.PostgreSQL.dll
2022-07-28 09:00:50.410001 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.SQLite.dll
2022-07-28 09:00:50.410001 ; PluginManager  ; Debug       ; Found version 1.2.6+ef0ad804   of OpenTap.VSSdk.Installer.dll
2022-07-28 09:00:50.410001 ; PluginManager  ; Debug       ; Searched 38 Assemblies. [1.18 s]
2022-07-28 09:00:50.439910 ; PluginManager  ; Debug       ; Loaded OpenTap. [1.03 ms]
2022-07-28 09:00:50.496760 ; PluginManager  ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [31.6 ms]
2022-07-28 09:00:50.498753 ; PluginManager  ; Debug       ; Loaded Keysight.OpenTap.Wpf. [402 us]
2022-07-28 09:00:50.521692 ; PluginManager  ; Debug       ; Loaded OpenTap.Package. [47.9 ms]
2022-07-28 09:00:50.574550 ; PluginManager  ; Debug       ; Loaded OpenTap.OSIntegration.Windows. [16.3 ms]
2022-07-28 09:00:50.783991 ; PluginManager  ; Debug       ; Loaded mscorlib. [1.20 us]
2022-07-28 09:00:51.129070 ; Settings       ; Debug       ; EditorSettings loaded from C:\Engineering\Projecten\LedsGo\versie5Knop\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Editor.xml [1.18 s]
2022-07-28 09:00:51.457195 ; GUI            ; Debug       ; Loaded Light Theme. [30.1 ms]
2022-07-28 09:00:51.497259 ; Resolver       ; Debug       ; Found match for AvalonDock, Version=4.60.0.0, Culture=neutral, PublicKeyToken=3e4669d2f30244f4 in C:\Engineering\Projecten\LedsGo\versie5Knop\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Dependencies\AvalonDock.4.60.0.0\AvalonDock.dll
2022-07-28 09:00:52.109455 ; Settings       ; Debug       ; GuiControlsSettings loaded from C:\Engineering\Projecten\LedsGo\versie5Knop\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\GUI Controls.xml [350 ms]
2022-07-28 09:00:52.109455 ; Main           ; Debug       ; Window initial dimensions: 1934px, 1054px.
2022-07-28 09:00:52.182359 ; Settings       ; Debug       ; EngineSettings loaded from C:\Engineering\Projecten\LedsGo\versie5Knop\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Engine.xml [67.6 ms]
2022-07-28 09:00:52.188246 ; Settings       ; Debug       ; No settings file exists for PackageManagerSettings. A new instance with default values has been created. [3.17 ms]
2022-07-28 09:00:52.256066 ; Session        ; Debug       ; Session log loaded as 'SessionLogs\SessionLog 2022-07-28 09-00-52.txt'. [9.89 ms]
2022-07-28 09:00:53.742318 ; Main           ; Debug       ; GUI initialized. [1.63 s]
2022-07-28 09:00:53.742318 ; Main           ; Debug       ; Docking manager initialized. [113 us]
2022-07-28 09:00:53.748305 ; OpenTAP        ; Information ; OpenTAP version '9.17.4+ea67c63a' 64-bit initialized 07/28/2022 [7.24 s]
2022-07-28 09:00:54.109394 ; PluginManager  ; Debug       ; Loaded PackageManager. [1.00 ms]
2022-07-28 09:00:54.109394 ; PluginManager  ; Debug       ; Loaded Editor. [310 us]
2022-07-28 09:00:54.165189 ; PluginManager  ; Debug       ; Loaded ResultsViewer. [55.1 ms]
2022-07-28 09:00:54.185138 ; PluginManager  ; Debug       ; Loaded RunExplorer. [18.7 ms]
2022-07-28 09:00:54.192119 ; Settings       ; Debug       ; ConnectionSettings loaded from C:\Engineering\Projecten\LedsGo\versie5Knop\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Bench\Default\Connections.xml [4.04 ms]
2022-07-28 09:00:54.194114 ; Settings       ; Debug       ; DutSettings loaded from C:\Engineering\Projecten\LedsGo\versie5Knop\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Bench\Default\DUTs.xml [2.01 ms]
2022-07-28 09:00:54.469576 ; PluginManager  ; Debug       ; Loaded OpenTap.Plugins.LedsGo. [262 ms]
2022-07-28 09:00:54.488327 ; Settings       ; Debug       ; InstrumentSettings loaded from C:\Engineering\Projecten\LedsGo\versie5Knop\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Bench\Default\Instruments.xml [293 ms]
2022-07-28 09:00:54.490322 ; Settings       ; Debug       ; ResultSettings loaded from C:\Engineering\Projecten\LedsGo\versie5Knop\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Results.xml [2.27 ms]
2022-07-28 09:00:57.002621 ; Main           ; Information ; Latest version of 'Keysight Licensing' is 1.2, your version is 1.1. Please consider updating. [3.18 s]
2022-07-28 09:00:57.002621 ; Main           ; Information ; Latest version of 'OpenTAP' is 9.18, your version is 9.17. Please consider updating. [3.18 s]
2022-07-28 09:00:57.002621 ; Main           ; Debug       ; Update check complete. [3.18 s]
